arm,target,photometry,floor,fit,order,dust_law,free_index,dust_prior,n_pix,lnZ,lnZ_err,calls,wall_s,ess,phot_chi2,n_bands,drop_bands,chi_u,chi_B,chi_V,chi_r,chi_i,chi_z,chi_Y,chi_J,chi_H,chi_Ks,chi_ch1,chi_ch2,logmass_q50,logmass_hw,Z_q50,Z_hw,afe_q50,afe_hw,mass_weighted_age_gyr_q50,mass_weighted_age_gyr_hw,spectrum_scaling_q50,spectrum_scaling_hw,f_calib_percent_q50,f_calib_percent_hw,tau_dust_q50,tau_dust_hw,tau_param,poly_min,poly_max,poly_tilt_pct,diffuse_dust_index_q50,diffuse_dust_index_hw
M5_172669_photonly_ap3,M5_172669,cosmos_ap3,0.05,photometry,0,kriek_conroy,False,,3602,210.01754658468587,0.14632665848505216,689000,33.259477206505835,3070.8606815371904,35.98799682995312,12,,0.13,-1.19,2.65,0.69,-0.75,1.14,-0.57,-1.49,-2.26,-1.66,2.32,3.07,11.368183728201446,0.10244062813873356,-1.6702389330863414,0.20912370280321446,0.49088464258301745,0.09825836147620956,3.550056501700869,1.368864440833272,,,,,0.0912720201274087,0.08762027172310063,diffuse_tau_kc,,,,,
M5_172669_photonly_cosmos_total,M5_172669,cosmos_total,0.05,photometry,0,kriek_conroy,False,,3602,225.95891585347294,0.19007141499191751,604500,29.415013623423874,2842.315061599566,2.1114946633095917,12,,-0.16,0.0,0.95,-0.12,-0.02,-0.04,-0.33,-0.51,-0.08,-0.01,0.02,0.88,11.277251140373647,0.11634033315588255,-1.816182841436178,0.2889953177030131,0.3946493181821385,0.19565255017388267,2.0305281327776608,0.9265351471035154,,,,,0.273661612256726,0.2582950878706335,diffuse_tau_kc,,,,,
M5_172669_speconly,M5_172669,cosmos_ap3,0.05,spectrum,0,kriek_conroy,False,,3602,232625.11893208657,0.23517687338826057,1280500,183.58935525733978,3885.6111975988442,6757.977783879319,12,,-68.96,-41.44,-10.13,-7.73,-6.55,-3.12,-4.57,-3.76,-3.14,-1.51,3.03,3.67,11.221646727229686,0.12001725425164533,-1.5764350233501239,0.02100082273150594,-0.014654378707264765,0.020523444603840563,1.997840994341946,0.21213855098293466,1.0174597363927846,0.22476779634531352,2.8479673526573137,0.0360300915778915,0.09789735414283574,0.01194798180118288,diffuse_tau_kc,,,,,
M5_172669_total_allbands_baseline,M5_172669,cosmos_total,0.05,both,0,kriek_conroy,False,,3602,232784.061073982,0.21678083029556539,1170000,236.01649554399773,3078.589232570676,66.73028944198076,12,,-2.47,-2.0,-2.3,-1.79,-1.46,-0.65,-0.28,0.75,2.24,2.91,3.5,4.38,11.205977311588352,0.007378947920566148,-1.722955456084453,0.011656195881046716,0.12244529817172028,0.015118611803077955,1.6797704628605583,0.04536849624736239,0.988305272635101,0.014576157126950706,2.89289125325893,0.039480508485602916,0.009675548116225547,0.004853839507141742,diffuse_tau_kc,,,,,
M5_172669_total_allbands_poly3,M5_172669,cosmos_total,0.05,both,3,kriek_conroy,False,,3602,232870.07460737153,0.2458104835651401,1235000,405.05200654407963,3526.681587586923,58.424795763566586,12,,-3.46,-0.29,3.55,4.08,2.75,1.48,0.47,-0.47,-0.86,-1.44,-1.86,-0.86,11.308729896698626,0.014630347551270795,-1.601880884855598,0.0271787936466773,-0.008016690585353231,0.027980843021044952,1.7950290393464206,0.17093425994278777,1.2281303482167414,0.027674548101062735,2.8017343129209342,0.03630218959062681,0.45875169049851694,0.03046159445525673,diffuse_tau_kc,0.8867667224789835,1.1279228695299683,-19.234128285498674,,
M5_172669_total_noirac_baseline,M5_172669,cosmos_total,0.05,both,0,kriek_conroy,False,,3602,232763.96681946603,0.3292734484852486,1183000,231.99620039202273,3130.25845730599,33.609694797596745,10,ch1 ch2,-1.99,-1.28,-1.55,-1.01,-0.72,0.17,0.43,1.49,2.94,3.6,,,11.189406419782378,0.00761453778089205,-1.7193891740200613,0.012989522567858125,0.10751863923697474,0.016090311531812194,1.6943901886095514,0.047079639404104534,1.0226946424930312,0.015586770339942713,2.888390150433912,0.038531981822242045,0.00730780342856548,0.004699869766540987,diffuse_tau_kc,,,,,
M5_172669_total_noirac_nou_baseline,M5_172669,cosmos_total,0.05,both,0,kriek_conroy,False,,3602,232746.54353404694,0.23223206404631044,1228500,246.97818424599245,3853.2914778249356,41.355678836364184,9,ch1 ch2 u,,-3.42,-1.9,-0.93,-0.51,0.22,0.52,1.58,2.99,3.63,,,11.192674859357265,0.009209521951055955,-1.708305618798486,0.020095933662612864,0.08860784864596039,0.01738177688811924,1.784363643516485,0.11327708511009327,1.029860481160226,0.01786928695483736,2.875416526467242,0.04224564662054919,0.012332667837146231,0.007554733559480093,diffuse_tau_kc,,,,,
M5_172669_total_noirac_nou_poly3,M5_172669,cosmos_total,0.05,both,3,kriek_conroy,False,,3602,232824.88085310534,0.25118873845956463,1209000,402.09074560925364,3575.2854654066464,36.20947677406886,9,ch1 ch2 u,,-3.3,2.08,3.28,2.27,1.06,0.05,-0.7,-1.02,-1.56,,,11.317249263743108,0.025158321561683294,-1.5982320219032116,0.02775558691884361,-0.011754158660161617,0.025138807561500366,1.9519534757107313,0.28368988962799624,1.1883767766256679,0.0227027051449068,2.8270333911019208,0.03266215021767804,0.4369129556775627,0.02344855750893199,diffuse_tau_kc,0.8981399187248325,1.1092203363574118,-17.022113424034725,,
M5_172669_total_noirac_poly3,M5_172669,cosmos_total,0.05,both,3,kriek_conroy,False,,3602,232837.6635115557,0.3422883205358975,1209000,395.19161510886624,4336.856548929551,58.75895027096017,10,ch1 ch2,-2.98,-0.37,3.52,4.12,2.64,1.24,-0.03,-1.15,-1.88,-2.65,,,11.340655206317347,0.01594073236877236,-1.5845896098555268,0.023376278389406258,-0.01279772443469664,0.021329527881591703,1.9511203927001493,0.2609210038249953,1.221488711309124,0.024308883348369004,2.8046373722219964,0.03495674470345622,0.5118963788833353,0.03051210235037133,diffuse_tau_kc,0.8781030504761911,1.1353292797122423,-20.41553478060809,,
M5_172669_total_noirac_speconly,M5_172669,cosmos_total,0.05,spectrum,0,kriek_conroy,False,,3602,232625.11893208657,0.3348616307711091,1280500,270.1730312150903,3885.6111975983877,2767.612542872885,10,ch1 ch2,-47.39,-21.6,-6.28,-2.11,-0.81,-0.04,0.11,0.98,2.02,2.35,,,11.221646727229697,0.1200172542516329,-1.576435023350125,0.021000822731506386,-0.014654378707263752,0.020523444603841208,1.9978409943419309,0.21213855098292922,1.0174597363927727,0.22476779634531058,2.8479673526573075,0.03603009157789572,0.0978973541428362,0.011947981801182977,diffuse_tau_kc,,,,,
