target,object_id,spect_id,z,sigma_star_kms,catalogue_sn,manifest_index,seed,logmass_q16,logmass_q50,logmass_q84,logZ_abs_q16,logZ_abs_q50,logZ_abs_q84,alpha_fe_q16,alpha_fe_q50,alpha_fe_q84,tau_dust_q16,tau_dust_q50,tau_dust_q84,age_q16,age_q50,age_q84,t20_q16,t20_q50,t20_q84,t50_q16,t50_q50,t50_q84,t80_q16,t80_q50,t80_q84,dt_q16,dt_q50,dt_q84,passed,joint_chi2,joint_ndof,spectrum_chi2,spectrum_ndof,photometry_chi2,photometry_ndof,ess,lnZ,lnZ_err,n_calls,n_samples,wall_time_s,joint_chi2_per_ndof
93943-M2_93943,93943,M2_93943,0.8799999952316284,138.89999389648438,13.100000381469727,141,20260971,10.959303447838021,10.985947778740972,11.012427555357982,-2.7721038124349544,-2.7236345143784932,-2.6783039147207677,0.09498442936129281,0.13008572118538864,0.1578318581107795,0.3951351812507865,0.45406546687867955,0.5216623827712559,3.239157950248077,3.4530263007491597,3.623081884716807,1.7004580139533179,1.7984374444695665,1.9155792800384022,3.164762431902804,3.4563502672269477,3.706288387416947,4.7088455167396255,5.047477533827842,5.367642405636899,2.954170409142367,3.247762379760405,3.493126866602111,True,3860.332299117356,3848,3847.3315518391883,3836,13.000747278167855,12,3586.4239254301924,254424.53527812072,0.19742353312076755,5613374,16800,328.89899582602084,1.0032048594379823
94494-M2_94494,94494,M2_94494,0.7401000261306763,203.8000030517578,30.600000381469727,52,20260882,11.325429539146697,11.33714270826917,11.351758526390345,-1.7260246850386278,-1.7085649324049976,-1.6862840439030586,-0.09139079619404585,-0.08073659483951803,-0.07051454223128324,0.4062160910166593,0.4195083412972309,0.4313960128704031,3.039634841800499,3.123585669573334,3.277054165333008,1.8094156122962513,1.841883071949204,1.903699243873602,3.032595999765744,3.110010636778256,3.248658140704169,4.244376642036567,4.330891838964414,4.499043532321576,2.433875985476874,2.4886122018057315,2.5959699009374724,True,3675.454545883603,3542,3606.761030886094,3530,68.69351499750877,12,4019.189680156121,232092.6976333032,0.2212558563434224,8656283,25500,493.98842278693337,1.0376777374036146
97310-M2_97310,97310,M2_97310,0.942799985408783,147.5,6.900000095367432,174,20261004,10.968009610698163,10.999631269937202,11.032489744443378,-2.2726079693711116,-2.2191865485964684,-2.147502674822402,-0.11481728466121019,-0.06334165595268046,-0.00946611744542553,0.4234453647336404,0.46488039091851635,0.5051846322498742,3.014623254606247,3.4056306036666846,3.766493966519737,1.4606263891534126,1.6715403908659803,2.002106786675422,2.9206695775563185,3.531976917285811,4.102283819253121,4.553883997127152,5.096035525923707,5.453946418537196,2.987884224639806,3.3038354903308877,3.5617716574810183,True,3677.4332318812735,3818,3665.226023991677,3806,12.207207889596582,12,3496.912844707843,252031.8781776857,0.30031562459271266,5524943,15300,300.343222636031,0.9631831408803755
98104-M12_98104,98104,M12_98104,0.9814170002937317,223.5,6.599999904632568,177,20261007,11.252402427256449,11.289456756111978,11.319171460519428,-2.5947753952162613,-2.524570968935917,-2.431796350193333,0.08328294522522334,0.1351681122123131,0.18375042277529588,0.4292563448951881,0.4892838833094524,0.5657234399506413,4.2291272389727315,4.4876890709033415,4.669067814038294,3.2392443455614073,3.561842060110818,3.728625759992131,4.385280354309296,4.650804596255629,4.978272077310614,5.341606086930618,5.466923624369215,5.552424041752249,1.7955112535165296,1.8869836591091784,2.120640161545453,True,5924.686237458818,3816,5920.3530353484275,3804,4.333202110390756,12,3505.336934070303,249682.06072084687,0.27214231958262874,5778158,16800,328.1527818888426,1.5525907330866924
101089-M12_101089,101089,M12_101089,0.8510000109672546,183.1999969482422,8.300000190734863,165,20260995,10.92548673476087,10.967832005474223,11.004878548714869,-1.9803520681638669,-1.8919677481697152,-1.819942989898041,-0.1638406238920047,-0.12652946302084472,-0.08923669416516372,0.2859870403609068,0.3366259660187502,0.414073424267341,3.213362844966966,3.6748639381329418,4.090026517920232,1.887194959396995,2.1882885430983126,2.6982918860596894,3.212503660144022,3.710872334340949,4.197994742114034,4.4472242688719215,4.969233103652552,5.579088832767092,2.52508580674212,2.6862333480886935,2.9189767956074375,True,7534.302354221319,3442,7528.119250782805,3430,6.183103438514481,12,4272.112335344365,223273.93967143173,0.419837103637436,6094688,18300,353.31189850345254,2.188931538123567
101830-M12_101830,101830,M12_101830,0.9873830080032349,243.60000610351562,11.300000190734863,153,20260983,11.886492834998165,11.912082792401508,11.932687125986774,-2.3184027469534,-2.290324412282087,-2.254539304154374,-0.14880299225293353,-0.11789350833037225,-0.09062178490394666,0.49666954507914224,0.549651817173952,0.601594991869652,4.475035234891006,4.622717932255121,4.847451236463224,3.5537145178893006,3.6914401783019892,3.969144240601522,4.57079219529506,4.822662516475492,5.191859233067795,5.410029677182016,5.504983730150384,5.61847496474451,1.6307565272709235,1.7853908912220517,1.8937352202671642,True,5778.116464099176,3826,5771.075400360554,3814,7.041063738621449,12,3515.0637371591292,246176.9263640976,0.2781952047489925,6533787,18500,364.73232115991414,1.5102238536589585
102456-M12_102456,102456,M12_102456,0.6779490113258362,170.3000030517578,34.900001525878906,33,20260863,11.55738174271689,11.572409383795225,11.582147126730778,-1.9187547209590738,-1.8934326564070978,-1.8689771720224102,-0.07462987136898713,-0.06161431313746887,-0.05027036972460682,0.4351254835500862,0.4492544261527492,0.46269978035737963,5.933735167265407,6.204416235675685,6.205968581294614,5.21039557536185,5.481983439513693,5.482908047712051,6.04086962373389,6.210612038828791,6.2111899189527655,6.87134367210593,6.93924063814389,6.93947179019348,1.4565637424814282,1.4572571986301979,1.6609480967440797,True,4008.9626393761628,3475,3968.1197273998105,3463,40.84291197635251,12,3818.014049126519,226152.4492685757,0.2954966500201586,8287789,23300,475.11043171212077,1.1536583134895433
102968-M14_102968,102968,M14_102968,0.9393450021743774,259.79998779296875,9.5,161,20260991,11.434880237001726,11.458902938153894,11.482365244535016,-1.5688558568901494,-1.5144713715509661,-1.4609360014148889,-0.14100946271198841,-0.118707676055611,-0.09397110929545537,0.4494638342164592,0.46776364353331873,0.48329553987910207,3.33355131201161,3.5842301113383535,3.8790934991388166,1.9769389305055067,2.1946567633228193,2.584199806931886,3.376741707263205,3.6689376516329126,3.9932938017856636,4.579543393757151,4.8514470920590265,5.21794595980603,2.5226513433734796,2.610458026396177,2.728354322066683,True,4317.045414333924,3825,4217.545129352602,3813,99.50028498132154,12,4466.906051090063,250446.8672646828,0.41969457520364006,9381355,26600,525.5262714475393,1.128639324008869
103366-M14_103366,103366,M14_103366,0.674206018447876,194.60000610351562,14.300000190734863,133,20260963,11.010824063914908,11.05621635197878,11.09037712844657,-1.904354778863386,-1.8423770525139003,-1.774701764832942,-0.02252108433620867,0.014936796773619521,0.04325452891769835,0.5239756373529896,0.5547176111411596,0.5935457410793293,4.66677957780185,5.144690212100833,5.474231117372537,3.1516711948730145,3.707596329704253,4.2098172765347135,4.7533593876200095,5.329102173072903,5.662498434393299,6.369747871717004,6.599829662050458,6.733188166578616,2.519215482801859,2.889743787697576,3.2167914159910267,True,3823.311865659786,3559,3804.717365344332,3547,18.594500315453836,12,4213.521646133202,234587.62646277354,0.3108479053977786,6892461,19100,378.7561102267355,1.0742657672547866
104877-M14_104877,104877,M14_104877,0.9544000029563904,151.8000030517578,3.5999999046325684,186,20261016,11.369055441068447,11.406482173113812,11.44083144754996,-2.419683592117569,-2.3606889754869016,-2.2902384732729666,-0.10245666011244181,-0.033843616583919225,0.032846741969009594,0.3590043475455312,0.4209410724858964,0.4809169852433273,4.295291356083403,4.630593179625645,5.126318661908526,3.1509152078392773,3.613921202567566,5.052124007522942,4.514837389401343,5.061689970247647,5.422910454565212,5.482517452487507,5.6492087078804545,5.793696901607481,0.7415728940845389,1.9872971039473466,2.3218278309760443,True,5868.581204077955,3812,5862.236874339496,3800,6.344329738458242,12,3825.5787484815614,245343.26710685104,0.1730038982142538,5567687,17000,318.8009539570194,1.5395018898420658
105474-M4_105474,105474,M4_105474,0.6732000112533569,181.8000030517578,37.29999923706055,20,20260850,10.883980839139767,10.896534682998933,10.911069507366273,-1.7596710347186495,-1.7402320873258923,-1.7295743899865221,0.044838755875391816,0.06450961631434199,0.08162516056155755,0.39152799042270753,0.42975280947083805,0.4694732782390023,1.526646388388533,1.547443707021734,1.5878576237646709,0.6779440731266966,0.6926015438820348,0.708210444092429,1.4774158858368653,1.5001619872313299,1.5290498979787477,2.393479764173758,2.407149318996806,2.4364917669582655,1.7044317978626813,1.7134094517870202,1.7443071897569216,True,3661.7611476328107,3401,3632.432390469712,3389,29.328757163098526,12,4806.378200100073,222208.01390133996,0.28920934351139443,8356094,23700,472.22888046794105,1.0766719046259368
107362-M3_107362,107362,M3_107362,0.6766999959945679,239.3000030517578,23.700000762939453,85,20260915,11.437476871886494,11.460662258810734,11.476885745566099,-1.8070971257752602,-1.7792122253457228,-1.7390485131440938,-0.19235159080317094,-0.17911341237925293,-0.1657056145801739,0.4967706779092503,0.5154701950175531,0.5330711039546533,5.062187452510796,5.305266451016647,5.526900145798355,3.642225319472486,3.958802113179616,4.33301486687023,5.200227530120962,5.501392507552886,5.71733213511459,6.539482637778288,6.659948628751058,6.746324479775739,2.4131768488765757,2.6674042023875497,2.9205743093911836,True,4053.1872323674056,3496,3989.969450001665,3484,63.21778236574074,12,4356.165091163015,227455.4296840508,0.3070741836844966,8254686,22800,451.2713481914252,1.1593784989609284
107370-M4_107370,107370,M4_107370,0.8435999751091003,181.8000030517578,17.799999237060547,117,20260947,11.292781334519015,11.305442220658593,11.320313693564913,-2.357558384539737,-2.315510978291717,-2.271598050472564,-0.08048739256780423,-0.05932567195107136,-0.03228459107589446,0.34484865711143914,0.368023735750338,0.39177379047914856,4.768860097283528,4.910618444739337,5.05751287793219,3.6893178710622836,3.8211545452562485,4.02216395805024,4.914187164320656,5.1346362261660685,5.33192617707298,5.898390022105204,5.979893455333695,6.058809435696461,2.0336190037778517,2.1461294352181737,2.207375471631804,True,3650.455964450577,3400,3625.308880031721,3388,25.147084418856203,12,3964.5133150893103,222138.08800736937,0.1327970291664944,6543946,19100,370.77472330629826,1.0736635189560522
107643-M4_107643,107643,M4_107643,0.7343000173568726,248.1999969482422,21.0,98,20260928,11.209717147156683,11.222636051641462,11.241856336690242,-1.8634433119642653,-1.8262181087757248,-1.793605354358262,0.21494956771463464,0.24597436606270684,0.2822232437099855,0.28503826919689706,0.30672566243345045,0.32897367669480754,3.0613483873788296,3.1739288525355933,3.4305052140534475,1.8111099742856147,1.8545378551443195,1.9723184934999447,3.0491965208317144,3.149727164371026,3.38810202337681,4.271056393500992,4.389249238217307,4.671146474064875,2.459745237857759,2.539828813564662,2.6895662939844667,True,3821.349798881654,3508,3791.186346210206,3496,30.163452671448074,12,4597.357981978985,227991.0485890683,0.28947472227408044,7398269,21300,410.19165458797943,1.0893243440369595
