target,arm,n_common,pix_dropped,bands_dropped,dchi2_raw3,dchi2_phot,dlnZ,dlnZ_sig,df_calib,same_data,shift_age,shift_Z,shift_afe,shift_tau_dust,shift_logmass
M4_108989,mask_cn,3439,296,0,-110.33136105666472,-1.6034575014076324,-19128.476710448886,-53075.72076646632,-0.13579317207963637,False,1.609536530992375,-2.3077731419205847,1.0248006551931055,-0.1622059657329925,0.7370793965053376
M4_108989,new_default,3735,0,0,5.402584831535933,0.05669730245395144,-3.1568629749526735,-7.971830539584763,0.07036458963405856,True,0.8041993958582117,-0.8789512665398442,-0.179457979548134,3.3999522768373756,1.848374289368074
M4_108989,new_default_rep1,3735,0,0,1.9244161637088837,-0.014950258256297033,-2.9257526878500357,-6.548128714442744,0.05603739058264168,True,0.4806413082448864,-0.8924292029064328,-0.16210445843588758,3.3011376338388008,1.5313186396428256
M4_108989,new_default_rep2,3735,0,0,3.7143255973196574,0.40485827249312756,-1.6947241797752213,-4.336344031311039,0.07459940257706066,True,0.4410512972096103,-0.8477976453601751,-0.0626660371078535,3.4369874295469613,1.601931219339973
M4_108989,no_irac,3735,0,2,0.20494048514774477,0.49377815362402266,-37.62398826240678,-93.92989080596799,0.006915237252918871,False,-0.1431487638453439,-0.0526287142366978,0.06515473471559806,-0.24154796992589223,-0.3771288245267733
M4_108989,seed_rep1,3735,0,0,1.8732289590298024,-0.8625518443992188,0.2891358845809009,0.6695840973816026,0.020185594221333147,True,-0.03627338984758248,0.054431431687882934,0.0032237582834005445,-0.01940734681246462,-0.14800560618568243
M4_108989,seed_rep2,3735,0,0,0.7745584174681426,-0.6049366900326287,0.22065960709005594,0.46670815027512924,0.01484914024094941,True,0.06167226042606357,0.12079646976078197,0.06071485306413008,0.01130531486634235,0.04084686606913786
M4_108989,seed_rep3,3735,0,0,3.5526625410357155,-0.7847188774884462,-0.0763307579618413,-0.1940984598864045,-0.0013974468054263056,True,0.054079450266999625,0.004778156211084674,0.11473407518641096,-0.24908767795813835,-0.1123330008212011
M4_108989,sfh_cont,3735,0,0,9.876525493175905,-0.2971002828137781,-4.145579335425282,-9.44815455485287,0.032346253303821015,True,1.2221168897055408,-0.11110926581804435,0.1726910103918683,-0.3993735098973546,0.3569826261345892
M4_108989,tau_cn,3735,0,0,7.191819273239162,0.2675180274447424,-2.677711946191266,-6.321421957222307,0.06539840870016,True,0.7570820985543295,-0.9235246736505894,-0.13083595193244588,3.513966230101251,1.752251742571873
M5_172669,dust_free,3602,0,0,-1.4315463334951346,-38.25539298209848,11.338945735740708,30.201945009607773,0.009003604759842965,True,0.020878910016711407,0.5892176868191564,-0.32545953750577117,-5.174229529628551,-1.9602483856150348
M5_172669,dust_wide,3602,0,0,-2.851628209124101,-54.8166532343715,8.94443715820671,23.36000824861941,0.024277884462051702,True,6.763866707331731,0.5589448759881497,-0.8558773563806926,-8.71188194629131,0.5161706287592993
M5_172669,emis_wide,3421,181,0,-3.1727701669306043,-5.695184580253326,-11836.062511548022,-26920.62015469627,0.05951099438159391,False,2.4646726666625223,-0.37810279972415417,-0.8971917420332648,-0.7752904334124473,2.171006755898505
M5_172669,floor20,3602,0,0,2.25802051698156,-2.716737127655122,0.1572709116153419,0.3397996193128862,0.017527343548663588,True,0.22887648116381504,0.22255990555439062,-0.6428440659742722,-0.2442013000743431,0.05702982144066515
M5_172669,mask_cn,3278,324,0,-23.394397387206027,-10.799968813512436,-21086.310000578582,-47960.428071338436,0.10021177419002036,False,-0.46684944820983637,-0.5718871574841062,4.0227839364679,-1.5163967296956091,-0.3607510445647862
M5_172669,new_default,3602,0,0,-3.290840533861683,-39.66945014764386,8.955639984167647,20.114342147765285,0.004421855212450865,True,6.426328400673223,0.6125717684090568,-0.6080540593793201,-5.586005957633476,1.2268222736798289
M5_172669,new_default_rep1,3602,0,0,-2.209567791802783,-41.0357398171872,5.881309881748166,11.978963872505686,0.0132055900857031,True,6.899331251920135,0.6219634174292747,-0.8602704438046015,-5.528623427360479,1.7767007581562517
M5_172669,new_default_rep2,3602,0,0,-1.4613315435262848,-39.16827181261231,5.822661873331526,15.392238504150644,0.01364541970227462,True,6.469853710538372,0.18828339348278708,-0.8053130721514477,-5.584336163969146,1.5865606893842796
M5_172669,no_irac,3602,0,2,-1.4544879236364068,16.10419784163581,-22.433448432333535,-57.759551249724105,-0.010105220414566851,False,0.6398682442373828,1.254237171905542,-0.9156474438277785,3.051939142485834,3.2700675529911405
M5_172669,seed_rep1,3602,0,0,-2.5051636813777804,0.7333917798475653,-0.7342562325065956,-1.872792898471305,0.016490433954241546,True,0.334759464022614,0.4868837371611211,-0.32442950257795533,-0.01822424587291026,0.13573942284439175
M5_172669,seed_rep2,3602,0,0,0.6041685096279252,-4.266631508201456,1.9861661211762112,4.1786655333781795,0.013922971041471666,True,1.196949952324447,0.3244731848770879,-0.956434844050869,-0.31648346911255176,0.4890183727929095
M5_172669,seed_rep3,3602,0,0,0.2504337081063568,-2.414946155281811,-0.1607178702543024,-0.37818414005754375,0.012394788232618748,True,0.33899423227056225,0.4043335398333591,-0.487902767075747,-0.16417094688914483,0.1347668361975717
M5_172669,sfh_cont,3602,0,0,3.813712896049765,-1.3542994301928388,-4.775490370113403,-11.528541607559246,-0.0004383417588997851,True,5.054355741451608,-0.17848133415335676,-0.9941611067455418,-0.29850853104050057,2.960489615971334
M5_172669,tau_cn,3602,0,0,-3.2498324132498055,-38.95008694012465,7.412290028150892,17.37714524763148,0.006447120243053828,True,6.449982874909572,0.4884412873309458,-0.7472578125122032,-5.542114214166022,1.3077647311094973
M5_173928,dust_free,3836,0,0,-12.524779987674265,-14.828223231709714,10.602540493273409,28.207577937745317,-0.03607485980618996,True,2.535668345629567,0.5626576269417475,0.8682024503140262,-4.891239268734931,-0.8389735055045104
M5_173928,dust_wide,3836,0,0,-3.0282277437781886,40.93789073499202,36.82634510539356,98.74721181965361,-0.01634354044196229,True,-11.617125434278927,40.715508916105485,-1.0503440743596493,-12.747976178467693,-13.877813010937333
M5_173928,emis_wide,3353,483,0,96.5668134075695,-21.786833327969344,-31402.007872248738,-71332.85053529016,0.3980442059781293,False,-4.004480470895954,-5.517789965279351,7.075714803612684,-1.722070628679583,-5.352782773848914
M5_173928,floor20,3836,0,0,-11.534324985912463,-0.7309658757468824,0.1126769699039869,0.28050620292036865,-0.018759248995747768,True,1.5061468493012191,-0.26890752666806594,-0.016728036775652273,-0.04912856433260894,0.7875682343888967
M5_173928,mask_cn,3722,114,0,-4.254392712733534,-2.8782443885342204,-7422.343018213694,-25308.80749945934,0.08482689958840517,False,0.0804005639481629,-1.0328936253643728,0.29424031516001603,-0.25439208968955956,0.3148290359130694
M5_173928,new_default,3836,0,0,-14.775619815962273,-12.399259766413863,5.5638516172766685,15.364991178911692,-0.040834352949628894,True,4.107466237323262,0.3913231794204768,0.9462714839463098,-4.730221042271479,0.44807949185714135
M5_173928,no_irac,3836,0,2,19.98664444865608,86.64857813684972,0.19510143250226974,0.4536604597482396,-0.0018820319653816142,False,-14.186047601101906,42.09402145022634,-1.1810965647093004,9.71204971787478,-2.237305259785243
M5_173928,sfh_cont,3836,0,0,-4.0437858019922714,0.46051675740314124,-5.228016965003917,-12.077173837504134,-0.06599383626080346,True,2.9029486579876935,-1.783555865201284,0.3231655705721223,0.11833713605310742,2.053006391281693
M5_173928,tau_cn,3836,0,0,-11.665110149684551,-12.897847651598234,4.9722628567542415,12.578740932918137,-0.04319300642886503,True,2.7173714382732665,0.4895442356846552,0.41669621616292213,-5.022752369025938,-0.5237269516332468
