target,arm,z,sn,seed,n_pix,n_bands,spec_chi2_stored,spec_chi2_raw3,phot_chi2,lnZ,lnZ_err,ess,passed,calls,wall_s,logmass_q50,logmass_hw,Z_q50,Z_hw,afe_q50,afe_hw,tau_dust_q50,tau_dust_hw,age_q50,age_hw,f_calib_q50,f_calib_hw,scaling_q50,scaling_hw,t50_q50,t50_hw,free_dust_index,sfh_prior,dust_index_q50,dust_index_hw,dust_rail_lo,dust_rail_hi,tau_prior,dust_index_bounds
M1_206545,poly3_total,0.7282999753952026,31.399999618530273,20260877,3422,12,4302.297073144692,5230.930693301957,64.63851193571105,222935.2292907058,0.22050999962631557,3548.4584069101224,True,1254500,371.4692131220363,11.637602282728874,0.009219682937620988,-1.8513931588842134,0.022731620291620125,-0.19326619827093727,0.005927738740977212,0.4571688733172671,0.02129749843703682,5.064945813679464,0.014539541936547717,3.9484314168913004,0.1038052736473225,1.1618166532533682,0.030878002422987882,5.07147280043054,0.02465681596363911,,,,,,,,
M1_206545,sfh_cont,0.7282999753952026,31.399999618530273,20260877,3422,12,4308.062266253941,5233.666376470581,63.01825475204761,222928.4650744713,0.22185219493488145,4103.141816255326,True,7387988,363.6524953423068,11.643095891133763,0.01145663262041463,-1.8572392098382244,0.023196492269518587,-0.1931007153369936,0.006969383649983424,0.45918222737965375,0.020742903971988136,5.166766626657646,0.08786651923915256,3.929379393148822,0.09851005970714954,1.163884760377905,0.027199286692015323,5.246986573298836,0.13869539136932563,False,student,,,,,,
M1_206545,tau_cn,0.7282999753952026,31.399999618530273,20260877,3422,12,4331.96272406463,5202.296654505985,48.79879834380531,222942.7247274751,0.20942662741156445,4404.057132952993,True,8105882,565.8071778472513,11.629222128311842,0.011244397919601745,-1.8102205958220317,0.020541803495384925,-0.18776410556584178,0.008465967885975756,0.38762622254834955,0.015855939571725847,5.188566422750971,0.09217955199400896,3.87554818841267,0.11966924655514588,1.1393589355421518,0.023179297060528903,5.282942533818201,0.13880254782748525,True,student,-0.9869825197418449,0.015260530416464413,0.975274702892508,3.311602164913478e-36,clipped,"-1.0,0.4"
M4_108989,dust_free,0.8277999758720398,21.299999237060547,20260924,3735,12,4223.9647397387,5602.917636656036,12.429057927271428,243351.03706042375,0.2950619369221855,3936.3659312107056,True,6593821,436.2342199534178,11.831067184896213,0.022189277432092425,-1.9069116589627642,0.029320923897340756,-0.1927739824316208,0.006823329220531887,0.3370532221752856,0.06583478251219851,4.5940699498083655,0.10033512434355663,4.446019915237912,0.10633394186886003,0.8092514732646611,0.02322151445152265,4.628403625841623,0.10184992921700431,True,uniform,0.020531413284183477,0.33770968422448533,0.02309218102808608,0.0762771993166923,,
M4_108989,dust_wide,0.8277999758720398,21.299999237060547,20260924,3735,12,4301.250769856291,5485.386532636537,23.644413729319925,243375.1578824488,0.371503323977501,4209.488295558062,True,8569183,563.0616472316906,11.741726481453801,0.02305037440315605,-1.5049544501473937,0.050537056060490415,-0.1561070690437648,0.01412111893347294,0.16527514989252806,0.012079296738052053,3.9565312652846227,0.2703832567240929,4.23363710805576,0.10848281708429663,0.8682762114105256,0.01737390744846834,4.012734335867371,0.29417814007680576,True,student,-1.9384585966507157,0.06593976516244349,0.7831002616664395,1.754999576612084e-14,uniform,"-2.0,0.5"
M4_108989,new_default,0.8277999758720398,21.299999237060547,20260924,3735,12,4214.658825062609,5606.937620959221,12.905607773271614,243347.1175457639,0.24103590965981841,4158.56779785,True,6969374,461.6116659520194,11.83968783670846,0.02204927897215292,-1.9035958310587784,0.03255360987724665,-0.19169503045129102,0.008318613457700338,0.34751396820226754,0.060496602586334214,4.702966209542592,0.12486949175995177,4.457592813141865,0.10391436293481648,0.8052930281962787,0.01985532998548656,4.877903988403535,0.19297753803181372,True,student,0.10659657157002465,0.28665238209488275,0.02485955625603321,0.10227167867528625,uniform,"-1.0,0.4"
M4_108989,new_default_rep1,0.8277999758720398,21.299999237060547,20261924,3735,12,4219.354735305941,5603.459452291394,12.833960212561365,243347.348656051,0.3176750069140376,4336.4631095703735,True,6865797,459.11432518437505,11.834760584779184,0.020820397030147042,-1.9039921695894546,0.027097726185364324,-0.19151447832145424,0.0070851728385537965,0.3447645619333056,0.057104021215871575,4.665573612564028,0.11606636683617966,4.443265614090448,0.11542415250148252,0.8053871682549244,0.019951699579283222,4.782035989924864,0.18100798834398457,True,student,0.09455047373291711,0.2581837167988562,0.008534272604550024,0.08301629611109011,uniform,"-1.0,0.4"
M4_108989,new_default_rep2,0.8277999758720398,21.299999237060547,20262924,3735,12,4218.66803073409,5605.249361725005,13.25376874331079,243348.57968455908,0.23242147337444172,4153.580503872307,True,6933767,452.5666284719482,11.835857950398896,0.02056293070538029,-1.9026797130339002,0.025401067577602188,-0.19047988605385308,0.007416173044844432,0.3485444296596162,0.06055175797257126,4.660998318718219,0.11761521062931868,4.461827626084867,0.10373403693254302,0.8026966314406934,0.018966714882115376,4.784058480907773,0.19428071377278888,True,student,0.1281218913892867,0.25757823332579455,0.0137017616880161,0.11944216907604589,uniform,"-1.0,0.4"
M4_108989,poly3_total,0.8277999758720398,21.299999237060547,20260924,3735,12,4263.884819292674,5601.535036127685,12.848910470817662,243350.27440873886,0.3141965732330557,3812.7493563721246,True,1196000,354.68694001901895,11.810962892708234,0.01554065330028287,-1.8777489770567084,0.02940646994437013,-0.18982788658959052,0.010404351293834227,0.25291412125202506,0.027823874939279722,4.610027398704806,0.11556687472838201,4.387228223507806,0.11204203672216417,0.8229659261009723,0.02453686708977043,4.635231308108844,0.11155364946578494,,,,,,,,
M4_108989,seed_rep1,0.8277999758720398,21.299999237060547,20261924,3735,12,4261.699392914336,5603.408265086715,11.986358626418443,243350.56354462344,0.2962160854407404,3510.136100645829,True,6733377,307.03828578442335,11.808662788896005,0.01594183647421943,-1.8761483407967496,0.02727547335568714,-0.1897943454759236,0.008321190662561054,0.2523741336614118,0.025774228426825654,4.605835396404316,0.1111703440919869,4.4074138177291395,0.09471516828806648,0.8251306539464837,0.021847601815723205,4.633850370385824,0.11520924562790302,False,uniform,,,,,,
