spect_id,sep_cosmos2015_arcsec,sep_classic_arcsec,sep_farmer_arcsec,sep_cosmos2025_arcsec
M5_236994,0.022207573195410973,0.11505070552498463,0.11533777485010908,0.13758139141056763
M6_237437,0.010039703809970442,0.13382264140197175,0.13372625790503312,
M6_237641,0.03211762488541628,0.1142616043845088,0.11438622496537935,
M5_238314,0.05222613436003059,0.14552898208726348,0.15850044313325712,0.16410389902240158
M5_238580,0.030050304263899572,0.14558320898344934,0.1427491721991088,
M6_240899,0.09626280744422579,0.209701088553691,0.21001640643670544,
M5_241189,0.04226755922839032,0.13208424156194118,,
M13_243871,0.012841387215723922,0.13173629508926168,0.13326577755016422,
M13_244239,0.040115090316640116,0.12098152359657216,0.12109571317652754,
M13_244680,0.024373138929671037,0.17102672801704905,0.17317925634437695,
M11_244738,0.08449900826253706,0.05993449415074879,,
