spect_id,catalogue,band,wavelength_angstrom,sedpy_filter,filter_in_sedpy_jax,catalogue_flux_ujy,catalogue_error_ujy,aperture_to_total_mag,ebv,zero_point_mag,total_scale,total_flux_ujy,total_error_ujy,total_flux_ujy_2015,total_error_ujy_2015,flux_ratio,error_ratio
M14_38771,classic,Ks,21557,vista_vircam_Ks,True,21.647102834911358,0.06160755021960159,-0.2718000113964081,0.014999999664723873,0.0,1.2909282507887914,27.944856597317205,0.0795309270403729,28.496520096630963,0.18273890861497594,0.9806410222215526,0.4352161652007105
M14_38771,farmer,Ks,21557,vista_vircam_Ks,True,28.287856265023308,0.021969502417118515,0.0,0.014999999664723873,0.0,1.0050371158792573,28.430345475006003,0.022080165346603165,28.496520096630963,0.18273890861497594,0.9976777999067759,0.12082903150705168
M14_38771,cosmos2025,Ks,21557,vista_vircam_Ks,True,28.707968,0.0946251,0.0,0.014999999664723873,0.0,1.0050371158792573,28.85257336147401,0.0951017375937863,28.496520096630963,0.18273890861497594,1.0124946226288571,0.520424130332102
M14_38771,classic,ch1,35686,spitzer_irac_ch1,True,24.626364262127332,0.07961283613944045,0.0,0.014999999664723873,-0.067,1.066031671541966,26.252484258356933,0.08486980478592435,26.424820932735017,0.21547296418461312,0.9934782273523529,0.39387681469499586
M14_38771,farmer,ch1,35686,spitzer_irac_ch1,True,21.62520968161192,0.024953707752283217,0.0,0.014999999664723873,-0.184,1.1873263543210757,25.676181372697112,0.029628194852311995,26.424820932735017,0.21547296418461312,0.9716690772685429,0.13750307359640312
M14_38771,cosmos2025,ch1,35686,spitzer_irac_ch1,True,19.95509799,0.4060874,0.0,0.014999999664723873,0.0,1.0022362521401602,19.999722620587242,0.40699551381734206,26.424820932735017,0.21547296418461312,0.7568536669178191,1.8888472405690584
M14_38771,classic,ch2,45067,spitzer_irac_ch2,True,15.878143154037176,0.05323248946420709,0.0,0.014999999664723873,-0.091,1.0890986947772532,17.292864984548267,0.057975434795211826,17.546071928643183,0.17944847003721925,0.9855690239317002,0.3230756705988476
M14_38771,farmer,ch2,45067,spitzer_irac_ch2,True,13.624488947900605,0.02267209019451797,0.0,0.014999999664723873,-0.186,1.1886862458535867,16.195242619153653,0.02695000177897548,17.546071928643183,0.17944847003721925,0.9230124374855456,0.15018239928925448
M14_38771,cosmos2025,ch2,45067,spitzer_irac_ch2,True,12.12805715,0.21599643,0.0,0.014999999664723873,0.0,1.0015375520951952,12.14670466968163,0.21632853576350117,17.546071928643183,0.17944847003721925,0.6922748703573177,1.2055189755512135
M14_39865,classic,u*,3858,cfht_megacam_us_9301,True,0.11095836909439702,0.006075578039816224,-0.36739999055862427,0.014999999664723873,0.058,1.417487433710598,0.15728209385633016,0.008612055523967564,0.17760308219512094,0.03315257504903457,0.8855820063051302,0.2597703349205857
